ad_id,campaingn_id,ad_platfrom,ad_type,target_gender,target_age_gropu,target_interests
1001,1101,Instagram,Video,Male,30-25,Sports
1002,1102,Facebook,Stories,Female,45-60,Fashion
1003,1103,YouTube,Carousel,All,15-30,Tech
1004,1104,Twitter,Image,Male,25-40,Gaming
1005,1105,Instagram,Video,Female,20-50,Finance
1006,1106,Facebook,Stories,All,30-25,Travel
1007,1107,YouTube,Carousel,Male,45-60,Fitness
1008,1108,Twitter,Image,Female,15-30,Music
1009,1109,Instagram,Video,All,25-40,Health
1010,1110,Facebook,Stories,Male,20-50,Food
1011,1111,YouTube,Carousel,Female,30-25,Sports
1012,1112,Twitter,Image,All,45-60,Fashion
1013,1113,Instagram,Video,Male,15-30,Tech
1014,1114,Facebook,Stories,Female,25-40,Gaming
1015,1115,YouTube,Carousel,All,20-50,Finance
1016,1116,Twitter,Image,Male,30-25,Travel
1017,1117,Instagram,Video,Female,45-60,Fitness
1018,1118,Facebook,Stories,All,15-30,Music
1019,1119,YouTube,Carousel,Male,25-40,Health
1020,1120,Twitter,Image,Female,20-50,Food
1021,1121,Instagram,Video,All,30-25,Sports
1022,1122,Facebook,Stories,Male,45-60,Fashion
1023,1123,YouTube,Carousel,Female,15-30,Tech
1024,1124,Twitter,Image,All,25-40,Gaming
1025,1125,Instagram,Video,Male,20-50,Finance
1026,1126,Facebook,Stories,Female,30-25,Travel
1027,1127,YouTube,Carousel,All,45-60,Fitness
1028,1128,Twitter,Image,Male,15-30,Music
1029,1129,Instagram,Video,Female,25-40,Health
1030,1130,Facebook,Stories,All,20-50,Food
1031,1131,YouTube,Carousel,Male,30-25,Sports
1032,1132,Twitter,Image,Female,45-60,Fashion
1033,1133,Instagram,Video,All,15-30,Tech
1034,1134,Facebook,Stories,Male,25-40,Gaming
1035,1135,YouTube,Carousel,Female,20-50,Finance
1036,1136,Twitter,Image,All,30-25,Travel
1037,1137,Instagram,Video,Male,45-60,Fitness
1038,1138,Facebook,Stories,Female,15-30,Music
1039,1139,YouTube,Carousel,All,25-40,Health
1040,1140,Twitter,Image,Male,20-50,Food
1041,1141,Instagram,Video,Female,30-25,Sports
1042,1142,Facebook,Stories,All,45-60,Fashion
1043,1143,YouTube,Carousel,Male,15-30,Tech
1044,1144,Twitter,Image,Female,25-40,Gaming
1045,1145,Instagram,Video,All,20-50,Finance
1046,1146,Facebook,Stories,Male,30-25,Travel
1047,1147,YouTube,Carousel,Female,45-60,Fitness
1048,1148,Twitter,Image,All,15-30,Music
1049,1149,Instagram,Video,Male,25-40,Health
1050,1150,Facebook,Stories,Female,20-50,Food
1051,1151,YouTube,Carousel,All,30-25,Sports
1052,1152,Twitter,Image,Male,45-60,Fashion
1053,1153,Instagram,Video,Female,15-30,Tech
1054,1154,Facebook,Stories,All,25-40,Gaming
1055,1155,YouTube,Carousel,Male,20-50,Finance
1056,1156,Twitter,Image,Female,30-25,Travel
1057,1157,Instagram,Video,All,45-60,Fitness
1058,1158,Facebook,Stories,Male,15-30,Music
1059,1159,YouTube,Carousel,Female,25-40,Health
1060,1160,Twitter,Image,All,20-50,Food
1061,1161,Instagram,Video,Male,30-25,Sports
1062,1162,Facebook,Stories,Female,45-60,Fashion
1063,1163,YouTube,Carousel,All,15-30,Tech
1064,1164,Twitter,Image,Male,25-40,Gaming
1065,1165,Instagram,Video,Female,20-50,Finance
1066,1166,Facebook,Stories,All,30-25,Travel
1067,1167,YouTube,Carousel,Male,45-60,Fitness
1068,1168,Twitter,Image,Female,15-30,Music
1069,1169,Instagram,Video,All,25-40,Health
1070,1170,Facebook,Stories,Male,20-50,Food
1071,1171,YouTube,Carousel,Female,30-25,Sports
1072,1172,Twitter,Image,All,45-60,Fashion
1073,1173,Instagram,Video,Male,15-30,Tech
1074,1174,Facebook,Stories,Female,25-40,Gaming
1075,1175,YouTube,Carousel,All,20-50,Finance
1076,1176,Twitter,Image,Male,30-25,Travel
1077,1177,Instagram,Video,Female,45-60,Fitness
1078,1178,Facebook,Stories,All,15-30,Music
1079,1179,YouTube,Carousel,Male,25-40,Health
1080,1180,Twitter,Image,Female,20-50,Food
1081,1181,Instagram,Video,All,30-25,Sports
1082,1182,Facebook,Stories,Male,45-60,Fashion
1083,1183,YouTube,Carousel,Female,15-30,Tech
1084,1184,Twitter,Image,All,25-40,Gaming
1085,1185,Instagram,Video,Male,20-50,Finance
1086,1186,Facebook,Stories,Female,30-25,Travel
1087,1187,YouTube,Carousel,All,45-60,Fitness
1088,1188,Twitter,Image,Male,15-30,Music
1089,1189,Instagram,Video,Female,25-40,Health
1090,1190,Facebook,Stories,All,20-50,Food
1091,1191,YouTube,Carousel,Male,30-25,Sports
1092,1192,Twitter,Image,Female,45-60,Fashion
1093,1193,Instagram,Video,All,15-30,Tech
1094,1194,Facebook,Stories,Male,25-40,Gaming
1095,1195,YouTube,Carousel,Female,20-50,Finance
1096,1196,Twitter,Image,All,30-25,Travel
1097,1197,Instagram,Video,Male,45-60,Fitness
1098,1198,Facebook,Stories,Female,15-30,Music
1099,1199,YouTube,Carousel,All,25-40,Health
1100,1200,Twitter,Image,Male,20-50,Food
1101,1201,Instagram,Video,Female,30-25,Sports
1102,1202,Facebook,Stories,All,45-60,Fashion
1103,1203,YouTube,Carousel,Male,15-30,Tech
1104,1204,Twitter,Image,Female,25-40,Gaming
1105,1205,Instagram,Video,All,20-50,Finance
1106,1206,Facebook,Stories,Male,30-25,Travel
1107,1207,YouTube,Carousel,Female,45-60,Fitness
1108,1208,Twitter,Image,All,15-30,Music
1109,1209,Instagram,Video,Male,25-40,Health
1110,1210,Facebook,Stories,Female,20-50,Food
1111,1211,YouTube,Carousel,All,30-25,Sports
1112,1212,Twitter,Image,Male,45-60,Fashion
1113,1213,Instagram,Video,Female,15-30,Tech
1114,1214,Facebook,Stories,All,25-40,Gaming
1115,1215,YouTube,Carousel,Male,20-50,Finance
1116,1216,Twitter,Image,Female,30-25,Travel
1117,1217,Instagram,Video,All,45-60,Fitness
1118,1218,Facebook,Stories,Male,15-30,Music
1119,1219,YouTube,Carousel,Female,25-40,Health
1120,1220,Twitter,Image,All,20-50,Food
1121,1221,Instagram,Video,Male,30-25,Sports
1122,1222,Facebook,Stories,Female,45-60,Fashion
1123,1223,YouTube,Carousel,All,15-30,Tech
1124,1224,Twitter,Image,Male,25-40,Gaming
1125,1225,Instagram,Video,Female,20-50,Finance
1126,1226,Facebook,Stories,All,30-25,Travel
1127,1227,YouTube,Carousel,Male,45-60,Fitness
1128,1228,Twitter,Image,Female,15-30,Music
1129,1229,Instagram,Video,All,25-40,Health
1130,1230,Facebook,Stories,Male,20-50,Food
1131,1231,YouTube,Carousel,Female,30-25,Sports
1132,1232,Twitter,Image,All,45-60,Fashion
1133,1233,Instagram,Video,Male,15-30,Tech
1134,1234,Facebook,Stories,Female,25-40,Gaming
1135,1235,YouTube,Carousel,All,20-50,Finance
1136,1236,Twitter,Image,Male,30-25,Travel
1137,1237,Instagram,Video,Female,45-60,Fitness
1138,1238,Facebook,Stories,All,15-30,Music
1139,1239,YouTube,Carousel,Male,25-40,Health
1140,1240,Twitter,Image,Female,20-50,Food
1141,1241,Instagram,Video,All,30-25,Sports
1142,1242,Facebook,Stories,Male,45-60,Fashion
1143,1243,YouTube,Carousel,Female,15-30,Tech
1144,1244,Twitter,Image,All,25-40,Gaming
1145,1245,Instagram,Video,Male,20-50,Finance
1146,1246,Facebook,Stories,Female,30-25,Travel
1147,1247,YouTube,Carousel,All,45-60,Fitness
1148,1248,Twitter,Image,Male,15-30,Music
1149,1249,Instagram,Video,Female,25-40,Health
1150,1250,Facebook,Stories,All,20-50,Food
1151,1251,YouTube,Carousel,Male,30-25,Sports
1152,1252,Twitter,Image,Female,45-60,Fashion
1153,1253,Instagram,Video,All,15-30,Tech
1154,1254,Facebook,Stories,Male,25-40,Gaming
1155,1255,YouTube,Carousel,Female,20-50,Finance
1156,1256,Twitter,Image,All,30-25,Travel
1157,1257,Instagram,Video,Male,45-60,Fitness
1158,1258,Facebook,Stories,Female,15-30,Music
1159,1259,YouTube,Carousel,All,25-40,Health
1160,1260,Twitter,Image,Male,20-50,Food
1161,1261,Instagram,Video,Female,30-25,Sports
1162,1262,Facebook,Stories,All,45-60,Fashion
1163,1263,YouTube,Carousel,Male,15-30,Tech
1164,1264,Twitter,Image,Female,25-40,Gaming
1165,1265,Instagram,Video,All,20-50,Finance
1166,1266,Facebook,Stories,Male,30-25,Travel
1167,1267,YouTube,Carousel,Female,45-60,Fitness
1168,1268,Twitter,Image,All,15-30,Music
1169,1269,Instagram,Video,Male,25-40,Health
1170,1270,Facebook,Stories,Female,20-50,Food
1171,1271,YouTube,Carousel,All,30-25,Sports
1172,1272,Twitter,Image,Male,45-60,Fashion
1173,1273,Instagram,Video,Female,15-30,Tech
1174,1274,Facebook,Stories,All,25-40,Gaming
1175,1275,YouTube,Carousel,Male,20-50,Finance
1176,1276,Twitter,Image,Female,30-25,Travel
1177,1277,Instagram,Video,All,45-60,Fitness
1178,1278,Facebook,Stories,Male,15-30,Music
1179,1279,YouTube,Carousel,Female,25-40,Health
1180,1280,Twitter,Image,All,20-50,Food
1181,1281,Instagram,Video,Male,30-25,Sports
1182,1282,Facebook,Stories,Female,45-60,Fashion
1183,1283,YouTube,Carousel,All,15-30,Tech
1184,1284,Twitter,Image,Male,25-40,Gaming
1185,1285,Instagram,Video,Female,20-50,Finance
1186,1286,Facebook,Stories,All,30-25,Travel
1187,1287,YouTube,Carousel,Male,45-60,Fitness
1188,1288,Twitter,Image,Female,15-30,Music
1189,1289,Instagram,Video,All,25-40,Health
1190,1290,Facebook,Stories,Male,20-50,Food
1191,1291,YouTube,Carousel,Female,30-25,Sports
1192,1292,Twitter,Image,All,45-60,Fashion
1193,1293,Instagram,Video,Male,15-30,Tech
1194,1294,Facebook,Stories,Female,25-40,Gaming
1195,1295,YouTube,Carousel,All,20-50,Finance
1196,1296,Twitter,Image,Male,30-25,Travel
1197,1297,Instagram,Video,Female,45-60,Fitness
1198,1298,Facebook,Stories,All,15-30,Music
1199,1299,YouTube,Carousel,Male,25-40,Health
1200,1300,Twitter,Image,Female,20-50,Food
1001,1301,Instagram,Video,All,30-25,Sports
1002,1302,Facebook,Stories,Male,45-60,Fashion
1003,1303,YouTube,Carousel,Female,15-30,Tech
1004,1304,Twitter,Image,All,25-40,Gaming
1005,1305,Instagram,Video,Male,20-50,Finance
1006,1306,Facebook,Stories,Female,30-25,Travel
1007,1307,YouTube,Carousel,All,45-60,Fitness
1008,1308,Twitter,Image,Male,15-30,Music
1009,1309,Instagram,Video,Female,25-40,Health
1010,1310,Facebook,Stories,All,20-50,Food
1011,1311,YouTube,Carousel,Male,30-25,Sports
1012,1312,Twitter,Image,Female,45-60,Fashion
1013,1313,Instagram,Video,All,15-30,Tech
1014,1314,Facebook,Stories,Male,25-40,Gaming
1015,1315,YouTube,Carousel,Female,20-50,Finance
1016,1316,Twitter,Image,All,30-25,Travel
1017,1317,Instagram,Video,Male,45-60,Fitness
1018,1318,Facebook,Stories,Female,15-30,Music
1019,1319,YouTube,Carousel,All,25-40,Health
1020,1320,Twitter,Image,Male,20-50,Food
1021,1321,Instagram,Video,Female,30-25,Sports
1022,1322,Facebook,Stories,All,45-60,Fashion
1023,1323,YouTube,Carousel,Male,15-30,Tech
1024,1324,Twitter,Image,Female,25-40,Gaming
1025,1325,Instagram,Video,All,20-50,Finance
1026,1326,Facebook,Stories,Male,30-25,Travel
1027,1327,YouTube,Carousel,Female,45-60,Fitness
1028,1328,Twitter,Image,All,15-30,Music
1029,1329,Instagram,Video,Male,25-40,Health
1030,1330,Facebook,Stories,Female,20-50,Food
1031,1331,YouTube,Carousel,All,30-25,Sports
1032,1332,Twitter,Image,Male,45-60,Fashion
1033,1333,Instagram,Video,Female,15-30,Tech
1034,1334,Facebook,Stories,All,25-40,Gaming
1035,1335,YouTube,Carousel,Male,20-50,Finance
1036,1336,Twitter,Image,Female,30-25,Travel
1037,1337,Instagram,Video,All,45-60,Fitness
1038,1338,Facebook,Stories,Male,15-30,Music
1039,1339,YouTube,Carousel,Female,25-40,Health
1040,1340,Twitter,Image,All,20-50,Food
1041,1341,Instagram,Video,Male,30-25,Sports
1042,1342,Facebook,Stories,Female,45-60,Fashion
1043,1343,YouTube,Carousel,All,15-30,Tech
1044,1344,Twitter,Image,Male,25-40,Gaming
1045,1345,Instagram,Video,Female,20-50,Finance
1046,1346,Facebook,Stories,All,30-25,Travel
1047,1347,YouTube,Carousel,Male,45-60,Fitness
1048,1348,Twitter,Image,Female,15-30,Music
1049,1349,Instagram,Video,All,25-40,Health
1050,1350,Facebook,Stories,Male,20-50,Food
1051,1351,YouTube,Carousel,Female,30-25,Sports
1052,1352,Twitter,Image,All,45-60,Fashion
1053,1353,Instagram,Video,Male,15-30,Tech
1054,1354,Facebook,Stories,Female,25-40,Gaming
1055,1355,YouTube,Carousel,All,20-50,Finance
1056,1356,Twitter,Image,Male,30-25,Travel
1057,1357,Instagram,Video,Female,45-60,Fitness
1058,1358,Facebook,Stories,All,15-30,Music
1059,1359,YouTube,Carousel,Male,25-40,Health
1060,1360,Twitter,Image,Female,20-50,Food
1061,1361,Instagram,Video,All,30-25,Sports
1062,1362,Facebook,Stories,Male,45-60,Fashion
1063,1363,YouTube,Carousel,Female,15-30,Tech
1064,1364,Twitter,Image,All,25-40,Gaming
1065,1365,Instagram,Video,Male,20-50,Finance
1066,1366,Facebook,Stories,Female,30-25,Travel
1067,1367,YouTube,Carousel,All,45-60,Fitness
1068,1368,Twitter,Image,Male,15-30,Music
1069,1369,Instagram,Video,Female,25-40,Health
1070,1370,Facebook,Stories,All,20-50,Food
1071,1371,YouTube,Carousel,Male,30-25,Sports
1072,1372,Twitter,Image,Female,45-60,Fashion
1073,1373,Instagram,Video,All,15-30,Tech
1074,1374,Facebook,Stories,Male,25-40,Gaming
1075,1375,YouTube,Carousel,Female,20-50,Finance
1076,1376,Twitter,Image,All,30-25,Travel
1077,1377,Instagram,Video,Male,45-60,Fitness
1078,1378,Facebook,Stories,Female,15-30,Music
1079,1379,YouTube,Carousel,All,25-40,Health
1080,1380,Twitter,Image,Male,20-50,Food
1081,1381,Instagram,Video,Female,30-25,Sports
1082,1382,Facebook,Stories,All,45-60,Fashion
1083,1383,YouTube,Carousel,Male,15-30,Tech
1084,1384,Twitter,Image,Female,25-40,Gaming
1085,1385,Instagram,Video,All,20-50,Finance
1086,1386,Facebook,Stories,Male,30-25,Travel
1087,1387,YouTube,Carousel,Female,45-60,Fitness
1088,1388,Twitter,Image,All,15-30,Music
1089,1389,Instagram,Video,Male,25-40,Health
1090,1390,Facebook,Stories,Female,20-50,Food
1091,1391,YouTube,Carousel,All,30-25,Sports
1092,1392,Twitter,Image,Male,45-60,Fashion
1093,1393,Instagram,Video,Female,15-30,Tech
1094,1394,Facebook,Stories,All,25-40,Gaming
1095,1395,YouTube,Carousel,Male,20-50,Finance
1096,1396,Twitter,Image,Female,30-25,Travel
1097,1397,Instagram,Video,All,45-60,Fitness
1098,1398,Facebook,Stories,Male,15-30,Music
1099,1399,YouTube,Carousel,Female,25-40,Health
1100,1400,Twitter,Image,All,20-50,Food
1101,1401,Instagram,Video,Male,30-25,Sports
1102,1402,Facebook,Stories,Female,45-60,Fashion
1103,1403,YouTube,Carousel,All,15-30,Tech
1104,1404,Twitter,Image,Male,25-40,Gaming
1105,1405,Instagram,Video,Female,20-50,Finance
1106,1406,Facebook,Stories,All,30-25,Travel
1107,1407,YouTube,Carousel,Male,45-60,Fitness
1108,1408,Twitter,Image,Female,15-30,Music
1109,1409,Instagram,Video,All,25-40,Health
1110,1410,Facebook,Stories,Male,20-50,Food
1111,1411,YouTube,Carousel,Female,30-25,Sports
1112,1412,Twitter,Image,All,45-60,Fashion
1113,1413,Instagram,Video,Male,15-30,Tech
1114,1414,Facebook,Stories,Female,25-40,Gaming
1115,1415,YouTube,Carousel,All,20-50,Finance
1116,1416,Twitter,Image,Male,30-25,Travel
1117,1417,Instagram,Video,Female,45-60,Fitness
1118,1418,Facebook,Stories,All,15-30,Music
1119,1419,YouTube,Carousel,Male,25-40,Health
1120,1420,Twitter,Image,Female,20-50,Food
1121,1421,Instagram,Video,All,30-25,Sports
1122,1422,Facebook,Stories,Male,45-60,Fashion
1123,1423,YouTube,Carousel,Female,15-30,Tech
1124,1424,Twitter,Image,All,25-40,Gaming
1125,1425,Instagram,Video,Male,20-50,Finance
1126,1426,Facebook,Stories,Female,30-25,Travel
1127,1427,YouTube,Carousel,All,45-60,Fitness
1128,1428,Twitter,Image,Male,15-30,Music
1129,1429,Instagram,Video,Female,25-40,Health
1130,1430,Facebook,Stories,All,20-50,Food
1131,1431,YouTube,Carousel,Male,30-25,Sports
1132,1432,Twitter,Image,Female,45-60,Fashion
1133,1433,Instagram,Video,All,15-30,Tech
1134,1434,Facebook,Stories,Male,25-40,Gaming
1135,1435,YouTube,Carousel,Female,20-50,Finance
1136,1436,Twitter,Image,All,30-25,Travel
1137,1437,Instagram,Video,Male,45-60,Fitness
1138,1438,Facebook,Stories,Female,15-30,Music
1139,1439,YouTube,Carousel,All,25-40,Health
1140,1440,Twitter,Image,Male,20-50,Food
1141,1441,Instagram,Video,Female,30-25,Sports
1142,1442,Facebook,Stories,All,45-60,Fashion
1143,1443,YouTube,Carousel,Male,15-30,Tech
1144,1444,Twitter,Image,Female,25-40,Gaming
1145,1445,Instagram,Video,All,20-50,Finance
1146,1446,Facebook,Stories,Male,30-25,Travel
1147,1447,YouTube,Carousel,Female,45-60,Fitness
1148,1448,Twitter,Image,All,15-30,Music
1149,1449,Instagram,Video,Male,25-40,Health
1150,1450,Facebook,Stories,Female,20-50,Food
1151,1451,YouTube,Carousel,All,30-25,Sports
1152,1452,Twitter,Image,Male,45-60,Fashion
1153,1453,Instagram,Video,Female,15-30,Tech
1154,1454,Facebook,Stories,All,25-40,Gaming
1155,1455,YouTube,Carousel,Male,20-50,Finance
1156,1456,Twitter,Image,Female,30-25,Travel
1157,1457,Instagram,Video,All,45-60,Fitness
1158,1458,Facebook,Stories,Male,15-30,Music
1159,1459,YouTube,Carousel,Female,25-40,Health
1160,1460,Twitter,Image,All,20-50,Food
1161,1461,Instagram,Video,Male,30-25,Sports
1162,1462,Facebook,Stories,Female,45-60,Fashion
1163,1463,YouTube,Carousel,All,15-30,Tech
1164,1464,Twitter,Image,Male,25-40,Gaming
1165,1465,Instagram,Video,Female,20-50,Finance
1166,1466,Facebook,Stories,All,30-25,Travel
1167,1467,YouTube,Carousel,Male,45-60,Fitness
1168,1468,Twitter,Image,Female,15-30,Music
1169,1469,Instagram,Video,All,25-40,Health
1170,1470,Facebook,Stories,Male,20-50,Food
1171,1471,YouTube,Carousel,Female,30-25,Sports
1172,1472,Twitter,Image,All,45-60,Fashion
1173,1473,Instagram,Video,Male,15-30,Tech
1174,1474,Facebook,Stories,Female,25-40,Gaming
1175,1475,YouTube,Carousel,All,20-50,Finance
1176,1476,Twitter,Image,Male,30-25,Travel
1177,1477,Instagram,Video,Female,45-60,Fitness
1178,1478,Facebook,Stories,All,15-30,Music
1179,1479,YouTube,Carousel,Male,25-40,Health
1180,1480,Twitter,Image,Female,20-50,Food
1181,1481,Instagram,Video,All,30-25,Sports
1182,1482,Facebook,Stories,Male,45-60,Fashion
1183,1483,YouTube,Carousel,Female,15-30,Tech
1184,1484,Twitter,Image,All,25-40,Gaming
1185,1485,Instagram,Video,Male,20-50,Finance
1186,1486,Facebook,Stories,Female,30-25,Travel
1187,1487,YouTube,Carousel,All,45-60,Fitness
1188,1488,Twitter,Image,Male,15-30,Music
1189,1489,Instagram,Video,Female,25-40,Health
1190,1490,Facebook,Stories,All,20-50,Food
1191,1491,YouTube,Carousel,Male,30-25,Sports
1192,1492,Twitter,Image,Female,45-60,Fashion
1193,1493,Instagram,Video,All,15-30,Tech
1194,1494,Facebook,Stories,Male,25-40,Gaming
1195,1495,YouTube,Carousel,Female,20-50,Finance
1196,1496,Twitter,Image,All,30-25,Travel
1197,1497,Instagram,Video,Male,45-60,Fitness
1198,1498,Facebook,Stories,Female,15-30,Music
1199,1499,YouTube,Carousel,All,25-40,Health
1200,1500,Twitter,Image,Male,20-50,Food
1001,1501,Instagram,Video,Female,30-25,Sports
1002,1502,Facebook,Stories,All,45-60,Fashion
1003,1503,YouTube,Carousel,Male,15-30,Tech
1004,1504,Twitter,Image,Female,25-40,Gaming
1005,1505,Instagram,Video,All,20-50,Finance
1006,1506,Facebook,Stories,Male,30-25,Travel
1007,1507,YouTube,Carousel,Female,45-60,Fitness
1008,1508,Twitter,Image,All,15-30,Music
1009,1509,Instagram,Video,Male,25-40,Health
1010,1510,Facebook,Stories,Female,20-50,Food
1011,1511,YouTube,Carousel,All,30-25,Sports
1012,1512,Twitter,Image,Male,45-60,Fashion
1013,1513,Instagram,Video,Female,15-30,Tech
1014,1514,Facebook,Stories,All,25-40,Gaming
1015,1515,YouTube,Carousel,Male,20-50,Finance
1016,1516,Twitter,Image,Female,30-25,Travel
1017,1517,Instagram,Video,All,45-60,Fitness
1018,1518,Facebook,Stories,Male,15-30,Music
1019,1519,YouTube,Carousel,Female,25-40,Health
1020,1520,Twitter,Image,All,20-50,Food
1021,1521,Instagram,Video,Male,30-25,Sports
1022,1522,Facebook,Stories,Female,45-60,Fashion
1023,1523,YouTube,Carousel,All,15-30,Tech
1024,1524,Twitter,Image,Male,25-40,Gaming
1025,1525,Instagram,Video,Female,20-50,Finance
1026,1526,Facebook,Stories,All,30-25,Travel
1027,1527,YouTube,Carousel,Male,45-60,Fitness
1028,1528,Twitter,Image,Female,15-30,Music
1029,1529,Instagram,Video,All,25-40,Health
1030,1530,Facebook,Stories,Male,20-50,Food
1031,1531,YouTube,Carousel,Female,30-25,Sports
1032,1532,Twitter,Image,All,45-60,Fashion
1033,1533,Instagram,Video,Male,15-30,Tech
1034,1534,Facebook,Stories,Female,25-40,Gaming
1035,1535,YouTube,Carousel,All,20-50,Finance
1036,1536,Twitter,Image,Male,30-25,Travel
1037,1537,Instagram,Video,Female,45-60,Fitness
1038,1538,Facebook,Stories,All,15-30,Music
1039,1539,YouTube,Carousel,Male,25-40,Health
1040,1540,Twitter,Image,Female,20-50,Food
1041,1541,Instagram,Video,All,30-25,Sports
1042,1542,Facebook,Stories,Male,45-60,Fashion
1043,1543,YouTube,Carousel,Female,15-30,Tech
1044,1544,Twitter,Image,All,25-40,Gaming
1045,1545,Instagram,Video,Male,20-50,Finance
1046,1546,Facebook,Stories,Female,30-25,Travel
1047,1547,YouTube,Carousel,All,45-60,Fitness
1048,1548,Twitter,Image,Male,15-30,Music
1049,1549,Instagram,Video,Female,25-40,Health
1050,1550,Facebook,Stories,All,20-50,Food
1051,1551,YouTube,Carousel,Male,30-25,Sports
1052,1552,Twitter,Image,Female,45-60,Fashion
1053,1553,Instagram,Video,All,15-30,Tech
1054,1554,Facebook,Stories,Male,25-40,Gaming
1055,1555,YouTube,Carousel,Female,20-50,Finance
1056,1556,Twitter,Image,All,30-25,Travel
1057,1557,Instagram,Video,Male,45-60,Fitness
1058,1558,Facebook,Stories,Female,15-30,Music
1059,1559,YouTube,Carousel,All,25-40,Health
1060,1560,Twitter,Image,Male,20-50,Food
1061,1561,Instagram,Video,Female,30-25,Sports
1062,1562,Facebook,Stories,All,45-60,Fashion
1063,1563,YouTube,Carousel,Male,15-30,Tech
1064,1564,Twitter,Image,Female,25-40,Gaming
1065,1565,Instagram,Video,All,20-50,Finance
1066,1566,Facebook,Stories,Male,30-25,Travel
1067,1567,YouTube,Carousel,Female,45-60,Fitness
1068,1568,Twitter,Image,All,15-30,Music
1069,1569,Instagram,Video,Male,25-40,Health
1070,1570,Facebook,Stories,Female,20-50,Food
1071,1571,YouTube,Carousel,All,30-25,Sports
1072,1572,Twitter,Image,Male,45-60,Fashion
1073,1573,Instagram,Video,Female,15-30,Tech
1074,1574,Facebook,Stories,All,25-40,Gaming
1075,1575,YouTube,Carousel,Male,20-50,Finance
1076,1576,Twitter,Image,Female,30-25,Travel
1077,1577,Instagram,Video,All,45-60,Fitness
1078,1578,Facebook,Stories,Male,15-30,Music
1079,1579,YouTube,Carousel,Female,25-40,Health
1080,1580,Twitter,Image,All,20-50,Food
1081,1581,Instagram,Video,Male,30-25,Sports
1082,1582,Facebook,Stories,Female,45-60,Fashion
1083,1583,YouTube,Carousel,All,15-30,Tech
1084,1584,Twitter,Image,Male,25-40,Gaming
1085,1585,Instagram,Video,Female,20-50,Finance
1086,1586,Facebook,Stories,All,30-25,Travel
1087,1587,YouTube,Carousel,Male,45-60,Fitness
1088,1588,Twitter,Image,Female,15-30,Music
1089,1589,Instagram,Video,All,25-40,Health
1090,1590,Facebook,Stories,Male,20-50,Food
1091,1591,YouTube,Carousel,Female,30-25,Sports
1092,1592,Twitter,Image,All,45-60,Fashion
1093,1593,Instagram,Video,Male,15-30,Tech
1094,1594,Facebook,Stories,Female,25-40,Gaming
1095,1595,YouTube,Carousel,All,20-50,Finance
1096,1596,Twitter,Image,Male,30-25,Travel
1097,1597,Instagram,Video,Female,45-60,Fitness
1098,1598,Facebook,Stories,All,15-30,Music
1099,1599,YouTube,Carousel,Male,25-40,Health
1100,1600,Twitter,Image,Female,20-50,Food
